Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
0,zipWithIndex at /home/sshuser/execution_scripts/../DQAssessment.py:1294,[],2,1489735915952,1489735917415
1,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1297,[],2,1489735917456,1489735918834
2,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1301,[],2,1489735918857,1489735920317
3,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1306,[],2,1489735920348,1489735921785
4,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1315,[],2,1489735921816,1489735921921
5,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1320,[],2,1489735921960,1489735922054
6,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1325,[],2,1489735922076,1489735922170
7,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1330,[],2,1489735922200,1489735923579
8,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1335,[],2,1489735923607,1489735923728
9,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1340,[],2,1489735923759,1489735923879
10,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1345,[],2,1489735923908,1489735924038
11,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1350,[],2,1489735924070,1489735924169
12,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1355,[],2,1489735924195,1489735924333
13,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1360,[],2,1489735924357,1489735924456
14,json at NativeMethodAccessorImpl.java:-2,[],2,1489735927357,1489735927666
15,head at /home/sshuser/execution_scripts/../DQAssessment.py:1384,[],1,1489735928320,1489735928927
16,json at NativeMethodAccessorImpl.java:-2,[],216,1489735931015,1489735932115
17,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1434,[],12,1489735932304,1489735933580
18,json at NativeMethodAccessorImpl.java:-2,[],428,1489735936444,1489736025208
19,count at NativeMethodAccessorImpl.java:-2,[],428,1489736025415,1489736113395
20,count at NativeMethodAccessorImpl.java:-2,[19],1,1489736113405,1489736113556
21,count at NativeMethodAccessorImpl.java:-2,[],428,1489736113701,1489736201476
22,count at NativeMethodAccessorImpl.java:-2,[21],1,1489736201480,1489736201587
23,runJob at PythonRDD.scala:441,[],1,1489736201732,1489736202345
24,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:550,[],428,1489736202532,1489736302434
25,runJob at PythonRDD.scala:441,[24],1,1489736302449,1489736302554
27,json at NativeMethodAccessorImpl.java:-2,[26],1,1489736303148,1489736324291
28,count at /home/sshuser/execution_scripts/../DQAssessment.py:566,[],428,1489736324553,1489736420720
29,count at /home/sshuser/execution_scripts/../DQAssessment.py:570,[],428,1489736420767,1489736516306
30,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:550,[],428,1489736516370,1489736614707
31,runJob at PythonRDD.scala:441,[30],1,1489736614717,1489736614793
