Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
0,run at ThreadPoolExecutor.java:1142,[],2,1490223191364,1490223194605
3,run at ThreadPoolExecutor.java:1142,[],2,1490223191494,1490223194803
1,run at ThreadPoolExecutor.java:1142,[],2,1490223191380,1490223195121
2,run at ThreadPoolExecutor.java:1142,[],2,1490223191441,1490223195322
4,showString at NativeMethodAccessorImpl.java:-2,[],2,1490223197581,1490223202722
5,showString at NativeMethodAccessorImpl.java:-2,[],3000,1490223198123,1490223484120
6,showString at NativeMethodAccessorImpl.java:-2,[],1000,1490223198213,1490223511189
7,showString at NativeMethodAccessorImpl.java:-2,"[5, 6]",200,1490223511220,1490223841624
8,showString at NativeMethodAccessorImpl.java:-2,"[7, 4]",200,1490223841648,1490223938160
9,showString at NativeMethodAccessorImpl.java:-2,[8],200,1490223938176,1490223938863
