Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
4,10.0.0.22,12,PROCESS_LOCAL,1483716285877,1483716288285,0,NOVAL,NOVAL,NOVAL,1242,1102,0,8504,0,0,2,ResultTask
5,10.0.0.17,20,PROCESS_LOCAL,1483716285878,1483716288293,0,NOVAL,NOVAL,NOVAL,1264,1104,0,8304,0,0,2,ResultTask
1,10.0.0.4,22,PROCESS_LOCAL,1483716285830,1483716288573,0,NOVAL,NOVAL,NOVAL,1526,1090,0,2315,0,0,0,ResultTask
2,10.0.0.23,17,PROCESS_LOCAL,1483716285855,1483716288622,0,NOVAL,NOVAL,NOVAL,1525,983,0,809338,0,0,1,ResultTask
3,10.0.0.25,3,PROCESS_LOCAL,1483716285859,1483716288663,0,NOVAL,NOVAL,NOVAL,1638,1024,0,799256,0,0,1,ResultTask
0,10.0.0.11,18,PROCESS_LOCAL,1483716285811,1483716288724,0,NOVAL,NOVAL,NOVAL,1655,1194,0,14606,0,0,0,ResultTask
19,10.0.0.23,17,PROCESS_LOCAL,1483716290079,1483716304653,0,39648626,244631641,1438808,14406,115,201,2451,0,0,3,ShuffleMapTask
31,10.0.0.4,22,PROCESS_LOCAL,1483716290088,1483716304696,0,39644532,193166163,1438934,14449,104,159,2449,0,0,3,ShuffleMapTask
40,10.0.0.25,3,PROCESS_LOCAL,1483716290095,1483716305435,0,39684230,219908709,1440672,15049,258,152,2450,0,0,3,ShuffleMapTask
45,10.0.0.23,17,PROCESS_LOCAL,1483716290098,1483716305495,0,39644074,181515288,1439552,15250,115,201,2451,0,0,3,ShuffleMapTask
57,10.0.0.4,22,PROCESS_LOCAL,1483716290110,1483716305617,0,39645653,234196976,1439698,15378,102,159,2449,0,0,3,ShuffleMapTask
14,10.0.0.25,3,PROCESS_LOCAL,1483716290071,1483716305711,0,39687924,216951336,1440336,15325,261,152,2450,0,0,3,ShuffleMapTask
27,10.0.0.11,18,PROCESS_LOCAL,1483716290085,1483716305752,0,39679517,198821917,1439572,15409,204,140,2451,0,0,3,ShuffleMapTask
30,10.0.0.22,12,PROCESS_LOCAL,1483716290087,1483716306119,0,39766943,283868842,1442767,15874,107,215,2451,0,0,3,ShuffleMapTask
53,10.0.0.11,18,PROCESS_LOCAL,1483716290104,1483716306214,0,39652467,193823933,1440417,15869,208,140,2451,0,0,3,ShuffleMapTask
56,10.0.0.22,12,PROCESS_LOCAL,1483716290109,1483716306378,0,39684877,208853662,1441166,16135,104,215,2451,0,0,3,ShuffleMapTask
46,10.0.0.17,20,PROCESS_LOCAL,1483716290099,1483716306596,0,39584697,234492091,1437234,16377,89,175,2451,0,0,3,ShuffleMapTask
20,10.0.0.17,20,PROCESS_LOCAL,1483716290080,1483716306621,0,39657470,257920857,1439377,16403,92,175,2451,0,0,3,ShuffleMapTask
23,10.0.0.22,24,PROCESS_LOCAL,1483716290082,1483716307072,0,39678661,209020383,1439916,15678,1249,176,2451,0,0,3,ShuffleMapTask
25,10.0.0.6,6,PROCESS_LOCAL,1483716290084,1483716307432,0,39661469,248623847,1439351,15985,1297,155,2448,0,0,3,ShuffleMapTask
49,10.0.0.22,24,PROCESS_LOCAL,1483716290101,1483716307594,0,39708836,192586528,1442041,16203,1234,176,2451,0,0,3,ShuffleMapTask
13,10.0.0.23,2,PROCESS_LOCAL,1483716290070,1483716307667,0,39722806,415504992,1441540,16192,1332,159,2450,0,0,3,ShuffleMapTask
22,10.0.0.25,15,PROCESS_LOCAL,1483716290081,1483716307793,0,39635599,365798244,1438672,16549,1096,192,2451,0,0,3,ShuffleMapTask
51,10.0.0.6,6,PROCESS_LOCAL,1483716290102,1483716307833,0,39627586,239395058,1438480,16391,1297,155,2448,0,0,3,ShuffleMapTask
48,10.0.0.25,15,PROCESS_LOCAL,1483716290100,1483716307843,0,39675032,368837471,1440857,16605,1097,192,2451,0,0,3,ShuffleMapTask
