Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
5,10.0.0.12,12,PROCESS_LOCAL,1483043713020,1483043718428,0,NOVAL,NOVAL,NOVAL,2858,2458,0,8304,0,0,2,ResultTask,Success
4,10.0.0.7,3,PROCESS_LOCAL,1483043713017,1483043718789,0,NOVAL,NOVAL,NOVAL,3020,2675,0,8503,0,0,2,ResultTask,Success
3,10.0.0.14,6,PROCESS_LOCAL,1483043713005,1483043718900,0,NOVAL,NOVAL,NOVAL,3346,2475,0,2316,0,0,1,ResultTask,Success
2,10.0.0.15,10,PROCESS_LOCAL,1483043713002,1483043718990,0,NOVAL,NOVAL,NOVAL,3437,2474,0,14606,0,0,1,ResultTask,Success
1,10.0.0.11,9,PROCESS_LOCAL,1483043712974,1483043719331,0,NOVAL,NOVAL,NOVAL,3727,2322,0,799256,0,0,0,ResultTask,Success
0,10.0.0.7,11,PROCESS_LOCAL,1483043712931,1483043719789,0,NOVAL,NOVAL,NOVAL,3948,2607,0,809337,0,0,0,ResultTask,Success
17,10.0.0.14,6,PROCESS_LOCAL,1483043722041,1483043746655,0,39129315,650472723,1439302,24402,166,340,2450,0,0,3,ShuffleMapTask,Success
30,10.0.0.14,6,PROCESS_LOCAL,1483043722056,1483043746923,0,39223269,434126325,1442767,24675,166,340,2450,0,0,3,ShuffleMapTask,Success
15,10.0.0.7,11,PROCESS_LOCAL,1483043722039,1483043747700,0,39139864,665960174,1439751,25171,421,688,2449,0,0,3,ShuffleMapTask,Success
25,10.0.0.11,9,PROCESS_LOCAL,1483043722050,1483043747973,0,39133937,813168925,1439351,25664,201,560,2450,0,0,3,ShuffleMapTask,Success
10,10.0.0.7,3,PROCESS_LOCAL,1483043722030,1483043747978,0,39117551,644890189,1438919,25651,250,464,2448,0,0,3,ShuffleMapTask,Success
18,10.0.0.15,10,PROCESS_LOCAL,1483043722042,1483043748168,0,39144817,608155420,1439662,25926,160,622,2451,0,0,3,ShuffleMapTask,Success
