Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
0,10.0.0.13,5,PROCESS_LOCAL,1483065392243,1483065398003,0,NOVAL,NOVAL,NOVAL,3341,2299,0,3780,0,0,0,ResultTask,Success
3,10.0.0.12,2,PROCESS_LOCAL,1483065392289,1483065398473,0,NOVAL,NOVAL,NOVAL,3643,2467,0,17487,0,0,1,ResultTask,Success
2,10.0.0.11,12,PROCESS_LOCAL,1483065392287,1483065398668,0,NOVAL,NOVAL,NOVAL,3789,2499,0,20277,0,0,1,ResultTask,Success
1,10.0.0.15,14,PROCESS_LOCAL,1483065392269,1483065404315,0,NOVAL,NOVAL,NOVAL,6742,4913,0,2316,0,0,0,ResultTask,Success
19,10.0.0.13,5,PROCESS_LOCAL,1483065405329,1483065432563,0,12065,223096224,159,26956,235,594,3299,0,0,2,ShuffleMapTask,Success
5,10.0.0.13,5,PROCESS_LOCAL,1483065405309,1483065433099,0,12012,137430208,158,27478,239,608,3299,0,0,2,ShuffleMapTask,Success
14,10.0.0.11,12,PROCESS_LOCAL,1483065405322,1483065434127,0,12086,285438624,159,28462,280,786,3300,0,0,2,ShuffleMapTask,Success
6,10.0.0.12,2,PROCESS_LOCAL,1483065405311,1483065435286,0,12067,300311485,159,29549,362,637,3299,0,0,2,ShuffleMapTask,Success
28,10.0.0.11,12,PROCESS_LOCAL,1483065405341,1483065435518,0,12100,147851279,159,29865,281,848,3300,0,0,2,ShuffleMapTask,Success
7,10.0.0.15,14,PROCESS_LOCAL,1483065405312,1483065436909,0,12054,178956815,159,31135,407,768,3300,0,0,2,ShuffleMapTask,Success
21,10.0.0.15,14,PROCESS_LOCAL,1483065405332,1483065437751,0,12083,291145813,159,31967,421,806,3300,0,0,2,ShuffleMapTask,Success
30,10.0.0.14,1,PROCESS_LOCAL,1483065405343,1483065437856,0,12056,292799890,159,29837,2579,503,3299,0,0,2,ShuffleMapTask,Success
16,10.0.0.14,1,PROCESS_LOCAL,1483065405325,1483065437984,0,12064,175055027,159,29988,2607,516,3299,0,0,2,ShuffleMapTask,Success
20,10.0.0.12,2,PROCESS_LOCAL,1483065405330,1483065438920,0,12017,232493217,158,33193,354,665,3299,0,0,2,ShuffleMapTask,Success
4,10.0.0.16,4,PROCESS_LOCAL,1483065405307,1483065438999,0,12076,222355645,159,30872,2728,962,3299,0,0,2,ShuffleMapTask,Success
23,10.0.0.7,7,PROCESS_LOCAL,1483065405334,1483065439169,0,12039,243081296,159,30968,2770,742,3297,0,0,2,ShuffleMapTask,Success
27,10.0.0.6,3,PROCESS_LOCAL,1483065405339,1483065440072,0,12027,269471816,158,32029,2617,832,3297,0,0,2,ShuffleMapTask,Success
17,10.0.0.16,11,PROCESS_LOCAL,1483065405326,1483065440083,0,12027,262901763,159,31941,2733,803,3300,0,0,2,ShuffleMapTask,Success
11,10.0.0.6,10,PROCESS_LOCAL,1483065405318,1483065440517,0,12002,263663505,158,32053,3049,661,3298,0,0,2,ShuffleMapTask,Success
31,10.0.0.16,11,PROCESS_LOCAL,1483065405345,1483065440647,0,12030,204349104,158,32516,2729,803,3300,0,0,2,ShuffleMapTask,Success
25,10.0.0.6,10,PROCESS_LOCAL,1483065405337,1483065440733,0,12062,241287250,159,32274,3038,661,3298,0,0,2,ShuffleMapTask,Success
8,10.0.0.12,9,PROCESS_LOCAL,1483065405314,1483065440744,0,12070,242591385,159,32077,3236,865,3299,0,0,2,ShuffleMapTask,Success
9,10.0.0.7,7,PROCESS_LOCAL,1483065405315,1483065440812,0,12065,171930485,159,32618,2784,765,3297,0,0,2,ShuffleMapTask,Success
26,10.0.0.7,13,PROCESS_LOCAL,1483065405338,1483065441037,0,12032,363784489,159,32730,2897,762,3298,0,0,2,ShuffleMapTask,Success
10,10.0.0.11,6,PROCESS_LOCAL,1483065405317,1483065441164,0,12006,291872342,158,32924,2835,876,3299,0,0,2,ShuffleMapTask,Success
18,10.0.0.16,4,PROCESS_LOCAL,1483065405328,1483065441261,0,12065,252734979,159,33137,2735,984,3299,0,0,2,ShuffleMapTask,Success
22,10.0.0.12,9,PROCESS_LOCAL,1483065405333,1483065441740,0,12066,171994094,159,33064,3253,901,3299,0,0,2,ShuffleMapTask,Success
24,10.0.0.11,6,PROCESS_LOCAL,1483065405335,1483065441783,0,12069,146316772,159,33543,2836,876,3299,0,0,2,ShuffleMapTask,Success
12,10.0.0.7,13,PROCESS_LOCAL,1483065405319,1483065442010,0,12046,156947401,159,33693,2911,762,3298,0,0,2,ShuffleMapTask,Success
15,10.0.0.15,8,PROCESS_LOCAL,1483065405323,1483065442718,0,12073,299866068,159,33858,3445,747,3299,0,0,2,ShuffleMapTask,Success
29,10.0.0.15,8,PROCESS_LOCAL,1483065405342,1483065442721,0,12062,310439932,159,33857,3446,747,3299,0,0,2,ShuffleMapTask,Success
13,10.0.0.6,3,PROCESS_LOCAL,1483065405321,1483065443690,0,12078,170052355,159,35667,2623,908,3297,0,0,2,ShuffleMapTask,Success
32,10.0.0.13,5,PROCESS_LOCAL,1483065432559,1483065456597,0,12065,238646171,159,23966,53,163,3299,0,0,2,ShuffleMapTask,Success
33,10.0.0.13,5,PROCESS_LOCAL,1483065433097,1483065457520,0,12077,122707166,159,24346,50,165,3299,0,0,2,ShuffleMapTask,Success
34,10.0.0.11,12,PROCESS_LOCAL,1483065434125,1483065460335,0,12063,156467904,159,26121,65,278,3300,0,0,2,ShuffleMapTask,Success
