Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
4,10.0.0.4,3,PROCESS_LOCAL,1483428380614,1483428383350,0,NOVAL,NOVAL,NOVAL,1404,1275,0,8503,0,0,2,ResultTask
2,10.0.0.5,5,PROCESS_LOCAL,1483428380599,1483428383452,0,NOVAL,NOVAL,NOVAL,1636,1164,0,14605,0,0,1,ResultTask
3,10.0.0.4,7,PROCESS_LOCAL,1483428380602,1483428383708,0,NOVAL,NOVAL,NOVAL,1820,1243,0,2315,0,0,1,ResultTask
1,10.0.0.4,7,PROCESS_LOCAL,1483428380578,1483428383810,0,NOVAL,NOVAL,NOVAL,1786,1241,0,799255,0,0,0,ResultTask
0,10.0.0.4,3,PROCESS_LOCAL,1483428380556,1483428383829,0,NOVAL,NOVAL,NOVAL,1791,1290,0,809337,0,0,0,ResultTask
5,10.0.0.9,4,PROCESS_LOCAL,1483428380617,1483428387209,0,NOVAL,NOVAL,NOVAL,3072,3480,0,8303,0,0,2,ResultTask
17,10.0.0.4,3,PROCESS_LOCAL,1483428388715,1483428404013,0,40658606,261364188,1439302,15213,64,160,2448,0,0,3,ShuffleMapTask
13,10.0.0.4,7,PROCESS_LOCAL,1483428388711,1483428404192,0,40717142,187970969,1441540,15392,63,79,2448,0,0,3,ShuffleMapTask
21,10.0.0.4,7,PROCESS_LOCAL,1483428388718,1483428404244,0,40658336,210938843,1439168,15436,66,79,2448,0,0,3,ShuffleMapTask
9,10.0.0.4,3,PROCESS_LOCAL,1483428388708,1483428404287,0,40673282,186572462,1439460,15489,65,160,2448,0,0,3,ShuffleMapTask
11,10.0.0.5,5,PROCESS_LOCAL,1483428388709,1483428404324,0,40682646,192917437,1440282,15506,81,148,2448,0,0,3,ShuffleMapTask
19,10.0.0.5,5,PROCESS_LOCAL,1483428388716,1483428404600,0,40649616,210443000,1438808,15783,79,148,2448,0,0,3,ShuffleMapTask
20,10.0.0.5,1,PROCESS_LOCAL,1483428388717,1483428405888,0,40655664,416747319,1439377,15935,1193,174,2448,0,0,3,ShuffleMapTask
7,10.0.0.9,4,PROCESS_LOCAL,1483428388705,1483428406037,0,40670424,249542439,1439790,17164,132,150,2448,0,0,3,ShuffleMapTask
12,10.0.0.5,1,PROCESS_LOCAL,1483428388710,1483428406194,0,40676287,208807253,1439786,16245,1194,174,2448,0,0,3,ShuffleMapTask
15,10.0.0.9,4,PROCESS_LOCAL,1483428388713,1483428406199,0,40667331,298667162,1439751,17323,137,150,2448,0,0,3,ShuffleMapTask
8,10.0.0.6,2,PROCESS_LOCAL,1483428388707,1483428406532,0,40705096,418738484,1440830,16519,1266,235,2448,0,0,3,ShuffleMapTask
14,10.0.0.6,6,PROCESS_LOCAL,1483428388712,1483428406953,0,40688758,237820623,1440336,17051,1151,230,2448,0,0,3,ShuffleMapTask
16,10.0.0.6,2,PROCESS_LOCAL,1483428388714,1483428407072,0,40607296,259176220,1437537,17057,1269,235,2448,0,0,3,ShuffleMapTask
6,10.0.0.6,6,PROCESS_LOCAL,1483428388703,1483428407756,0,40652553,264675555,1439555,17853,1157,230,2448,0,0,3,ShuffleMapTask
10,10.0.0.9,8,PROCESS_LOCAL,1483428388708,1483428408264,0,40644028,277202359,1438919,18162,1349,227,2448,0,0,3,ShuffleMapTask
18,10.0.0.9,8,PROCESS_LOCAL,1483428388715,1483428408529,0,40679451,250778905,1439662,18431,1342,227,2448,0,0,3,ShuffleMapTask
22,10.0.0.4,3,PROCESS_LOCAL,1483428404011,1483428416514,0,40635275,155327856,1438672,12479,16,74,2448,0,0,3,ShuffleMapTask
27,10.0.0.5,5,PROCESS_LOCAL,1483428404598,1483428417180,0,40683754,158403615,1439572,12537,33,89,2448,0,0,3,ShuffleMapTask
26,10.0.0.5,5,PROCESS_LOCAL,1483428404322,1483428417739,0,40713293,157443752,1440230,13391,15,89,2448,0,0,3,ShuffleMapTask
25,10.0.0.4,3,PROCESS_LOCAL,1483428404286,1483428417991,0,40665517,169614610,1439351,13681,13,113,2448,0,0,3,ShuffleMapTask
24,10.0.0.4,7,PROCESS_LOCAL,1483428404240,1483428418109,0,40667720,166861685,1439681,13847,13,79,2448,0,0,3,ShuffleMapTask
23,10.0.0.4,7,PROCESS_LOCAL,1483428404191,1483428418798,0,40673861,160000370,1439916,14582,16,79,2448,0,0,3,ShuffleMapTask
28,10.0.0.5,1,PROCESS_LOCAL,1483428405886,1483428419565,0,40652489,170258605,1439078,13641,26,32,2448,0,0,3,ShuffleMapTask
34,10.0.0.6,2,PROCESS_LOCAL,1483428407070,1483428420358,0,40697431,198876773,1440831,13260,16,85,2448,0,0,3,ShuffleMapTask
32,10.0.0.6,2,PROCESS_LOCAL,1483428406531,1483428420413,0,40653053,217122781,1439225,13852,18,85,2448,0,0,3,ShuffleMapTask
29,10.0.0.9,4,PROCESS_LOCAL,1483428406036,1483428420739,0,40689875,179779652,1440680,14667,21,71,2448,0,0,3,ShuffleMapTask
31,10.0.0.9,4,PROCESS_LOCAL,1483428406198,1483428420871,0,40643878,159310897,1438934,14615,44,71,2448,0,0,3,ShuffleMapTask
33,10.0.0.6,6,PROCESS_LOCAL,1483428406952,1483428420995,0,40712652,151011480,1441303,14015,17,60,2448,0,0,3,ShuffleMapTask
30,10.0.0.5,1,PROCESS_LOCAL,1483428406193,1483428421045,0,40755364,157621347,1442767,14821,18,75,2448,0,0,3,ShuffleMapTask
35,10.0.0.6,6,PROCESS_LOCAL,1483428407755,1483428421830,0,40690930,165686279,1440460,14047,16,108,2448,0,0,3,ShuffleMapTask
36,10.0.0.9,8,PROCESS_LOCAL,1483428408263,1483428421836,0,40684084,176623312,1440443,13541,18,47,2448,0,0,3,ShuffleMapTask
37,10.0.0.9,8,PROCESS_LOCAL,1483428408528,1483428422921,0,40696505,211353941,1440568,14312,66,91,2448,0,0,3,ShuffleMapTask
38,10.0.0.4,3,PROCESS_LOCAL,1483428416513,1483428429088,0,40674035,151216762,1439920,12550,13,93,2448,0,0,3,ShuffleMapTask
39,10.0.0.5,5,PROCESS_LOCAL,1483428417178,1483428430165,0,40678798,143513337,1440367,12962,15,38,2448,0,0,3,ShuffleMapTask
40,10.0.0.5,5,PROCESS_LOCAL,1483428417737,1483428431788,0,40687985,158676362,1440672,14027,15,38,2448,0,0,3,ShuffleMapTask
42,10.0.0.4,7,PROCESS_LOCAL,1483428418108,1483428432653,0,40634206,142691094,1439029,14517,14,37,2448,0,0,3,ShuffleMapTask
