Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
5,10.0.0.5,1,PROCESS_LOCAL,1483442471458,1483442473836,0,NOVAL,NOVAL,NOVAL,1332,1018,0,8303,0,0,2,ResultTask
4,10.0.0.4,6,PROCESS_LOCAL,1483442471456,1483442473864,0,NOVAL,NOVAL,NOVAL,1210,1154,0,8503,0,0,2,ResultTask
1,10.0.0.5,1,PROCESS_LOCAL,1483442471350,1483442473991,0,NOVAL,NOVAL,NOVAL,1503,1101,0,2315,0,0,0,ResultTask
0,10.0.0.6,4,PROCESS_LOCAL,1483442471334,1483442474440,0,NOVAL,NOVAL,NOVAL,1696,1353,0,14605,0,0,0,ResultTask
2,10.0.0.9,7,PROCESS_LOCAL,1483442471382,1483442474454,0,NOVAL,NOVAL,NOVAL,1692,1170,0,809337,0,0,1,ResultTask
3,10.0.0.6,4,PROCESS_LOCAL,1483442471387,1483442474476,0,NOVAL,NOVAL,NOVAL,1573,1334,0,799255,0,0,1,ResultTask
15,10.0.0.5,1,PROCESS_LOCAL,1483442476026,1483442490758,0,41549018,217489964,1439751,14638,70,183,2448,0,0,3,ShuffleMapTask
8,10.0.0.6,4,PROCESS_LOCAL,1483442476020,1483442491416,0,41587176,200013084,1440830,15301,67,182,2448,0,0,3,ShuffleMapTask
20,10.0.0.9,7,PROCESS_LOCAL,1483442476031,1483442491520,0,41541878,223664217,1439377,15377,91,159,2448,0,0,3,ShuffleMapTask
12,10.0.0.9,7,PROCESS_LOCAL,1483442476024,1483442491752,0,41556598,223507194,1439786,15624,78,159,2448,0,0,3,ShuffleMapTask
7,10.0.0.5,1,PROCESS_LOCAL,1483442476019,1483442492060,0,41559156,251415940,1439790,15942,72,183,2448,0,0,3,ShuffleMapTask
21,10.0.0.5,5,PROCESS_LOCAL,1483442476032,1483442493026,0,41540779,235940010,1439168,15799,1153,149,2448,0,0,3,ShuffleMapTask
16,10.0.0.6,4,PROCESS_LOCAL,1483442476027,1483442493038,0,41486149,255646349,1437537,16921,65,182,2448,0,0,3,ShuffleMapTask
9,10.0.0.4,6,PROCESS_LOCAL,1483442476021,1483442493063,0,41529504,209702744,1439460,16942,73,177,2448,0,0,3,ShuffleMapTask
17,10.0.0.4,6,PROCESS_LOCAL,1483442476029,1483442493070,0,41540441,207440592,1439302,16954,67,177,2448,0,0,3,ShuffleMapTask
11,10.0.0.4,2,PROCESS_LOCAL,1483442476023,1483442493785,0,41569136,234138005,1440282,16551,1163,141,2448,0,0,3,ShuffleMapTask
14,10.0.0.6,8,PROCESS_LOCAL,1483442476025,1483442494311,0,41572304,257090675,1440336,16912,1329,176,2448,0,0,3,ShuffleMapTask
10,10.0.0.9,3,PROCESS_LOCAL,1483442476022,1483442494380,0,41527324,208774187,1438919,17163,1141,143,2448,0,0,3,ShuffleMapTask
13,10.0.0.5,5,PROCESS_LOCAL,1483442476024,1483442494567,0,41607849,214614667,1441540,17339,1158,149,2448,0,0,3,ShuffleMapTask
18,10.0.0.9,3,PROCESS_LOCAL,1483442476030,1483442494673,0,41591297,276617546,1439662,17460,1141,143,2448,0,0,3,ShuffleMapTask
6,10.0.0.6,8,PROCESS_LOCAL,1483442476017,1483442495104,0,41539613,240481761,1439555,17709,1330,176,2448,0,0,3,ShuffleMapTask
19,10.0.0.4,2,PROCESS_LOCAL,1483442476030,1483442495381,0,41524515,232808784,1438808,18151,1162,141,2448,0,0,3,ShuffleMapTask
22,10.0.0.5,1,PROCESS_LOCAL,1483442490755,1483442503538,0,41520543,144464717,1438672,12759,14,34,2448,0,0,3,ShuffleMapTask
26,10.0.0.5,1,PROCESS_LOCAL,1483442492058,1483442505361,0,41570141,171947529,1440230,13274,18,66,2448,0,0,3,ShuffleMapTask
24,10.0.0.9,7,PROCESS_LOCAL,1483442491519,1483442505383,0,41548931,158641373,1439681,13840,15,51,2448,0,0,3,ShuffleMapTask
23,10.0.0.6,4,PROCESS_LOCAL,1483442491414,1483442505529,0,41560109,180968617,1439916,14090,15,65,2448,0,0,3,ShuffleMapTask
28,10.0.0.6,4,PROCESS_LOCAL,1483442493036,1483442505993,0,41538195,170039835,1439078,12933,13,97,2448,0,0,3,ShuffleMapTask
25,10.0.0.9,7,PROCESS_LOCAL,1483442491750,1483442506770,0,41546988,194272002,1439351,14993,17,97,2448,0,0,3,ShuffleMapTask
29,10.0.0.4,6,PROCESS_LOCAL,1483442493062,1483442506931,0,41574731,155254572,1440680,13837,17,41,2448,0,0,3,ShuffleMapTask
27,10.0.0.5,5,PROCESS_LOCAL,1483442493025,1483442507909,0,41558688,175309077,1439572,14851,19,36,2448,0,0,3,ShuffleMapTask
30,10.0.0.4,6,PROCESS_LOCAL,1483442493069,1483442508011,0,41644766,157816519,1442767,14916,15,67,2448,0,0,3,ShuffleMapTask
35,10.0.0.9,3,PROCESS_LOCAL,1483442494671,1483442508338,0,41580379,166116007,1440460,13638,17,33,2448,0,0,3,ShuffleMapTask
32,10.0.0.6,8,PROCESS_LOCAL,1483442494310,1483442508597,0,41530268,185664646,1439225,14254,22,30,2448,0,0,3,ShuffleMapTask
34,10.0.0.5,5,PROCESS_LOCAL,1483442494565,1483442509044,0,41580681,146758804,1440831,14453,15,36,2448,0,0,3,ShuffleMapTask
31,10.0.0.4,2,PROCESS_LOCAL,1483442493783,1483442509167,0,41525203,158125821,1438934,15344,26,39,2448,0,0,3,ShuffleMapTask
36,10.0.0.6,8,PROCESS_LOCAL,1483442495102,1483442509174,0,41571459,237452200,1440443,14025,30,87,2448,0,0,3,ShuffleMapTask
37,10.0.0.4,2,PROCESS_LOCAL,1483442495379,1483442509874,0,41598592,144384450,1440568,14469,16,39,2448,0,0,3,ShuffleMapTask
33,10.0.0.9,3,PROCESS_LOCAL,1483442494379,1483442511167,0,41597210,158411728,1441303,16744,31,74,2448,0,0,3,ShuffleMapTask
38,10.0.0.5,1,PROCESS_LOCAL,1483442503537,1483442516747,0,41578611,140509871,1439920,13184,13,97,2448,0,0,3,ShuffleMapTask
39,10.0.0.5,1,PROCESS_LOCAL,1483442505360,1483442518971,0,41563935,139854177,1440367,13585,16,65,2448,0,0,3,ShuffleMapTask
41,10.0.0.6,4,PROCESS_LOCAL,1483442505528,1483442519174,0,41520297,186223286,1438879,13622,14,86,2448,0,0,3,ShuffleMapTask
40,10.0.0.9,7,PROCESS_LOCAL,1483442505382,1483442519216,0,41583370,177967124,1440672,13802,15,81,2448,0,0,3,ShuffleMapTask
43,10.0.0.9,7,PROCESS_LOCAL,1483442506768,1483442519906,0,41533856,144374046,1439356,13108,19,35,2448,0,0,3,ShuffleMapTask
44,10.0.0.4,6,PROCESS_LOCAL,1483442506929,1483442520843,0,41545741,159816719,1439869,13889,14,54,2448,0,0,3,ShuffleMapTask
42,10.0.0.6,4,PROCESS_LOCAL,1483442505992,1483442521233,0,41522904,153756946,1439029,15211,20,54,2448,0,0,3,ShuffleMapTask
45,10.0.0.5,5,PROCESS_LOCAL,1483442507908,1483442521531,0,41543779,155737901,1439552,13597,15,76,2448,0,0,3,ShuffleMapTask
46,10.0.0.4,6,PROCESS_LOCAL,1483442508010,1483442522095,0,41477168,151043471,1437234,14053,21,28,2448,0,0,3,ShuffleMapTask
47,10.0.0.9,3,PROCESS_LOCAL,1483442508337,1483442522319,0,41526263,175507106,1438929,13959,14,72,2448,0,0,3,ShuffleMapTask
49,10.0.0.5,5,PROCESS_LOCAL,1483442509043,1483442522871,0,41609743,184370948,1442041,13804,13,76,2448,0,0,3,ShuffleMapTask
50,10.0.0.4,2,PROCESS_LOCAL,1483442509166,1483442523559,0,41572584,181001733,1440762,14365,18,88,2448,0,0,3,ShuffleMapTask
51,10.0.0.6,8,PROCESS_LOCAL,1483442509172,1483442524265,0,41526439,191118887,1438480,15068,14,49,2448,0,0,3,ShuffleMapTask
48,10.0.0.6,8,PROCESS_LOCAL,1483442508596,1483442524313,0,41572606,201125367,1440857,15687,15,106,2448,0,0,3,ShuffleMapTask
52,10.0.0.4,2,PROCESS_LOCAL,1483442509873,1483442525281,0,41571990,149679381,1440611,15383,16,88,2448,0,0,3,ShuffleMapTask
53,10.0.0.9,3,PROCESS_LOCAL,1483442511166,1483442526162,0,41563090,173113247,1440417,14971,15,31,2448,0,0,3,ShuffleMapTask
