Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
1,10.0.0.6,3,PROCESS_LOCAL,1481578484784,1481578490535,0,NOVAL,NOVAL,NOVAL,3196,2494,0,2315,0,0,0,ResultTask,Success
2,10.0.0.6,3,PROCESS_LOCAL,1481578484811,1481578490564,0,NOVAL,NOVAL,NOVAL,3179,2455,0,20276,0,0,1,ResultTask,Success
0,10.0.0.5,10,PROCESS_LOCAL,1481578484767,1481578491202,0,NOVAL,NOVAL,NOVAL,3803,2550,0,3779,0,0,0,ResultTask,Success
3,10.0.0.5,4,PROCESS_LOCAL,1481578484828,1481578491271,0,NOVAL,NOVAL,NOVAL,3781,2587,0,17486,0,0,1,ResultTask,Success
4,10.0.0.5,4,PROCESS_LOCAL,1481578492983,1481578521655,0,12076,256161625,159,28169,401,879,3297,0,0,2,ShuffleMapTask,Success
13,10.0.0.5,10,PROCESS_LOCAL,1481578493021,1481578522740,0,12078,223382293,159,29402,242,860,3298,0,0,2,ShuffleMapTask,Success
15,10.0.0.5,4,PROCESS_LOCAL,1481578493027,1481578523249,0,12073,284143650,159,29784,390,902,3297,0,0,2,ShuffleMapTask,Success
24,10.0.0.5,10,PROCESS_LOCAL,1481578493054,1481578523562,0,12069,258922525,159,30224,240,891,3298,0,0,2,ShuffleMapTask,Success
20,10.0.0.6,3,PROCESS_LOCAL,1481578493044,1481578524334,0,12017,185154414,158,31016,192,1013,3297,0,0,2,ShuffleMapTask,Success
5,10.0.0.8,6,PROCESS_LOCAL,1481578492989,1481578524922,0,12012,308199443,158,29245,2587,585,3297,0,0,2,ShuffleMapTask,Success
9,10.0.0.6,3,PROCESS_LOCAL,1481578493006,1481578525292,0,12065,228075496,159,31980,203,1039,3297,0,0,2,ShuffleMapTask,Success
16,10.0.0.8,6,PROCESS_LOCAL,1481578493031,1481578525378,0,12064,157750793,159,29698,2580,585,3297,0,0,2,ShuffleMapTask,Success
25,10.0.0.13,11,PROCESS_LOCAL,1481578493057,1481578527730,0,12062,306118061,159,31616,2975,773,3300,0,0,2,ShuffleMapTask,Success
12,10.0.0.13,5,PROCESS_LOCAL,1481578493016,1481578528541,0,12046,258056362,159,32365,3005,850,3299,0,0,2,ShuffleMapTask,Success
22,10.0.0.12,2,PROCESS_LOCAL,1481578493049,1481578528544,0,12066,279233865,159,32530,2870,915,3299,0,0,2,ShuffleMapTask,Success
14,10.0.0.13,11,PROCESS_LOCAL,1481578493024,1481578528618,0,12086,170030700,159,32509,2979,773,3300,0,0,2,ShuffleMapTask,Success
8,10.0.0.6,9,PROCESS_LOCAL,1481578493002,1481578528637,0,12070,337204773,159,32167,3352,664,3297,0,0,2,ShuffleMapTask,Success
