Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
1,10.0.0.11,1,PROCESS_LOCAL,1489735915981,1489735917376,0,0,0,0,1036,319,84,2418,0,0,0,ResultTask
0,10.0.0.9,6,PROCESS_LOCAL,1489735915956,1489735917411,0,0,0,0,1084,308,102,2339,0,0,0,ResultTask
2,10.0.0.11,1,PROCESS_LOCAL,1489735917456,1489735917602,0,0,0,0,110,24,0,2174,0,0,1,ResultTask
3,10.0.0.8,2,PROCESS_LOCAL,1489735917457,1489735918827,0,0,0,0,1029,309,101,2386,0,0,1,ResultTask
5,10.0.0.11,1,PROCESS_LOCAL,1489735918859,1489735918953,0,0,0,0,65,17,0,2207,0,0,2,ResultTask
4,10.0.0.8,5,PROCESS_LOCAL,1489735918857,1489735920315,0,0,0,0,1090,326,97,2451,0,0,2,ResultTask
7,10.0.0.11,1,PROCESS_LOCAL,1489735920350,1489735920439,0,0,0,0,64,16,0,2243,0,0,3,ResultTask
6,10.0.0.9,3,PROCESS_LOCAL,1489735920349,1489735921783,0,0,0,0,1101,300,104,2307,0,0,3,ResultTask
8,10.0.0.9,3,PROCESS_LOCAL,1489735921816,1489735921911,0,0,0,0,64,20,0,2222,0,0,4,ResultTask
9,10.0.0.8,5,PROCESS_LOCAL,1489735921817,1489735921918,0,0,0,0,70,21,0,2294,0,0,4,ResultTask
10,10.0.0.11,1,PROCESS_LOCAL,1489735921961,1489735922047,0,0,0,0,64,14,0,2193,0,0,5,ResultTask
11,10.0.0.9,3,PROCESS_LOCAL,1489735921963,1489735922052,0,0,0,0,64,17,0,2207,0,0,5,ResultTask
12,10.0.0.11,1,PROCESS_LOCAL,1489735922076,1489735922159,0,0,0,0,59,15,0,2169,0,0,6,ResultTask
13,10.0.0.8,5,PROCESS_LOCAL,1489735922078,1489735922169,0,0,0,0,63,19,0,2207,0,0,6,ResultTask
15,10.0.0.8,5,PROCESS_LOCAL,1489735922202,1489735922294,0,0,0,0,63,16,0,2207,0,0,7,ResultTask
14,10.0.0.11,4,PROCESS_LOCAL,1489735922200,1489735923577,0,0,0,0,1055,287,86,2435,0,0,7,ResultTask
16,10.0.0.11,1,PROCESS_LOCAL,1489735923607,1489735923704,0,0,0,0,64,18,0,2294,0,0,8,ResultTask
17,10.0.0.11,4,PROCESS_LOCAL,1489735923615,1489735923726,0,0,0,0,82,20,0,2207,0,0,8,ResultTask
18,10.0.0.11,4,PROCESS_LOCAL,1489735923756,1489735923841,0,0,0,0,56,19,0,2128,0,0,9,ResultTask
19,10.0.0.9,6,PROCESS_LOCAL,1489735923757,1489735923877,0,0,0,0,89,20,0,2249,0,0,9,ResultTask
20,10.0.0.9,3,PROCESS_LOCAL,1489735923908,1489735923999,0,0,0,0,63,19,0,2128,0,0,10,ResultTask
21,10.0.0.8,5,PROCESS_LOCAL,1489735923910,1489735924037,0,0,0,0,63,49,0,2255,0,0,10,ResultTask
22,10.0.0.11,4,PROCESS_LOCAL,1489735924065,1489735924161,0,0,0,0,60,21,0,2128,0,0,11,ResultTask
23,10.0.0.9,6,PROCESS_LOCAL,1489735924071,1489735924167,0,0,0,0,65,22,0,2250,0,0,11,ResultTask
24,10.0.0.8,5,PROCESS_LOCAL,1489735924196,1489735924330,0,0,0,0,59,20,0,2128,0,0,12,ResultTask
25,10.0.0.8,2,PROCESS_LOCAL,1489735924197,1489735924331,0,0,0,0,70,20,0,2296,0,0,12,ResultTask
26,10.0.0.11,4,PROCESS_LOCAL,1489735924357,1489735924449,0,0,0,0,62,20,0,2128,0,0,13,ResultTask
27,10.0.0.9,6,PROCESS_LOCAL,1489735924359,1489735924455,0,0,0,0,69,19,0,2414,0,0,13,ResultTask
29,10.0.0.9,3,PROCESS_LOCAL,1489735927359,1489735927632,0,0,0,0,120,142,0,2125,0,0,14,ResultTask
28,10.0.0.9,6,PROCESS_LOCAL,1489735927357,1489735927665,0,0,0,0,197,94,0,4130,0,0,14,ResultTask
30,10.0.0.8,5,PROCESS_LOCAL,1489735928320,1489735928926,0,0,0,0,469,123,0,2790,0,0,15,ResultTask
31,10.0.0.9,6,PROCESS_LOCAL,1489735931015,1489735931125,0,0,0,0,74,21,0,2539,0,0,16,ResultTask
37,10.0.0.9,6,PROCESS_LOCAL,1489735931020,1489735931127,0,0,0,0,76,20,0,2626,0,0,16,ResultTask
44,10.0.0.9,6,PROCESS_LOCAL,1489735931126,1489735931177,0,0,0,0,37,5,0,1724,0,0,16,ResultTask
42,10.0.0.9,3,PROCESS_LOCAL,1489735931023,1489735931203,0,0,0,0,132,20,0,1811,0,0,16,ResultTask
36,10.0.0.9,3,PROCESS_LOCAL,1489735931019,1489735931204,0,0,0,0,132,21,0,2732,0,0,16,ResultTask
38,10.0.0.8,5,PROCESS_LOCAL,1489735931020,1489735931218,0,0,0,0,151,33,0,1724,0,0,16,ResultTask
32,10.0.0.8,5,PROCESS_LOCAL,1489735931017,1489735931219,0,0,0,0,152,34,0,2645,0,0,16,ResultTask
45,10.0.0.9,6,PROCESS_LOCAL,1489735931176,1489735931225,0,0,0,0,36,5,0,1724,0,0,16,ResultTask
43,10.0.0.9,6,PROCESS_LOCAL,1489735931124,1489735931230,0,0,0,0,93,3,0,1724,0,0,16,ResultTask
47,10.0.0.9,3,PROCESS_LOCAL,1489735931203,1489735931239,0,0,0,0,24,4,0,1724,0,0,16,ResultTask
46,10.0.0.9,3,PROCESS_LOCAL,1489735931202,1489735931243,0,0,0,0,26,6,0,1724,0,0,16,ResultTask
50,10.0.0.9,6,PROCESS_LOCAL,1489735931224,1489735931258,0,0,0,0,23,4,0,1724,0,0,16,ResultTask
48,10.0.0.8,5,PROCESS_LOCAL,1489735931217,1489735931262,0,0,0,0,35,3,0,1724,0,0,16,ResultTask
51,10.0.0.9,6,PROCESS_LOCAL,1489735931229,1489735931264,0,0,0,0,21,3,0,1724,0,0,16,ResultTask
49,10.0.0.8,5,PROCESS_LOCAL,1489735931218,1489735931267,0,0,0,0,26,16,0,1724,0,0,16,ResultTask
52,10.0.0.9,3,PROCESS_LOCAL,1489735931238,1489735931269,0,0,0,0,21,4,0,1724,0,0,16,ResultTask
55,10.0.0.8,5,PROCESS_LOCAL,1489735931261,1489735931293,0,0,0,0,22,3,0,1724,0,0,16,ResultTask
57,10.0.0.8,5,PROCESS_LOCAL,1489735931265,1489735931307,0,0,0,0,31,3,0,1724,0,0,16,ResultTask
56,10.0.0.9,6,PROCESS_LOCAL,1489735931263,1489735931309,0,0,0,0,36,2,0,1724,0,0,16,ResultTask
58,10.0.0.9,3,PROCESS_LOCAL,1489735931268,1489735931311,0,0,0,0,29,4,0,1724,0,0,16,ResultTask
