Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
1,hadoop-d4-10g.bigdata.polimi,2,NODE_LOCAL,1490223191375,1490223194406,0,NOVAL,NOVAL,NOVAL,1605,1365,59,2516,0,0,0,ResultTask,Success
0,hadoop-d4-10g.bigdata.polimi,6,NODE_LOCAL,1490223191368,1490223194603,0,NOVAL,NOVAL,NOVAL,1792,1387,59,2612,0,0,0,ResultTask,Success
6,hadoop-d3-10g.bigdata.polimi,5,NODE_LOCAL,1490223191498,1490223194703,0,NOVAL,NOVAL,NOVAL,1754,1405,53,2612,0,0,3,ResultTask,Success
7,hadoop-d3-10g.bigdata.polimi,1,NODE_LOCAL,1490223191499,1490223194803,0,NOVAL,NOVAL,NOVAL,1876,1374,70,2516,0,0,3,ResultTask,Success
2,hadoop-d4-10g.bigdata.polimi,2,NODE_LOCAL,1490223191384,1490223194892,0,NOVAL,NOVAL,NOVAL,2043,1430,59,5515,0,0,1,ResultTask,Success
3,hadoop-d3-10g.bigdata.polimi,9,NODE_LOCAL,1490223191384,1490223195120,0,NOVAL,NOVAL,NOVAL,2251,1448,47,1819,0,0,1,ResultTask,Success
4,hadoop-d2-10g.bigdata.polimi,3,NODE_LOCAL,1490223191444,1490223195191,0,NOVAL,NOVAL,NOVAL,2270,1427,66,5515,0,0,2,ResultTask,Success
5,hadoop-d2-10g.bigdata.polimi,7,NODE_LOCAL,1490223191445,1490223195322,0,NOVAL,NOVAL,NOVAL,2411,1426,56,1819,0,0,2,ResultTask,Success
9,hadoop-d4-10g.bigdata.polimi,6,NODE_LOCAL,1490223197583,1490223199973,0,166567,177542014,9276,2232,141,0,2236,0,0,4,ShuffleMapTask,Success
15,hadoop-d2-10g.bigdata.polimi,3,NODE_LOCAL,1490223198127,1490223200252,0,5421543,158588397,213831,1993,109,0,2236,0,0,5,ShuffleMapTask,Success
16,hadoop-d4-10g.bigdata.polimi,6,NODE_LOCAL,1490223198127,1490223200638,0,5415021,145236111,214089,2423,65,0,2236,0,0,5,ShuffleMapTask,Success
26,hadoop-d3-10g.bigdata.polimi,9,NODE_LOCAL,1490223198131,1490223201056,0,5396414,279945165,213335,2787,113,0,2236,0,0,5,ShuffleMapTask,Success
21,hadoop-d3-10g.bigdata.polimi,1,NODE_LOCAL,1490223198129,1490223201103,0,5443360,229082369,214999,2789,162,0,2236,0,0,5,ShuffleMapTask,Success
34,hadoop-d4-10g.bigdata.polimi,6,NODE_LOCAL,1490223199971,1490223201317,0,5807721,121520792,214030,1297,37,0,2236,0,0,5,ShuffleMapTask,Success
36,hadoop-d4-10g.bigdata.polimi,6,NODE_LOCAL,1490223200637,1490223201934,0,5845578,108128401,215883,1256,27,0,2236,0,0,5,ShuffleMapTask,Success
28,hadoop-d4-10g.bigdata.polimi,2,NODE_LOCAL,1490223198132,1490223202000,0,15454212,207425428,612786,3740,106,0,2236,0,0,5,ShuffleMapTask,Success
27,hadoop-d2-10g.bigdata.polimi,3,NODE_LOCAL,1490223198132,1490223202031,0,15452239,184876132,612765,3773,108,0,2236,0,0,5,ShuffleMapTask,Success
17,hadoop-d4-10g.bigdata.polimi,2,NODE_LOCAL,1490223198128,1490223202107,0,15459672,179816900,612913,3850,107,0,2236,0,0,5,ShuffleMapTask,Success
23,hadoop-d2-10g.bigdata.polimi,7,NODE_LOCAL,1490223198130,1490223202451,0,15455628,192204532,612809,4193,108,0,2236,0,0,5,ShuffleMapTask,Success
10,hadoop-d2-10g.bigdata.polimi,7,NODE_LOCAL,1490223198124,1490223202686,0,16358007,181492748,605351,4430,109,0,2236,0,0,5,ShuffleMapTask,Success
8,hadoop-d1-10g.bigdata.polimi,4,NODE_LOCAL,1490223197581,1490223202721,0,172218,220896183,9538,3649,1451,38,2236,0,0,4,ShuffleMapTask,Success
35,hadoop-d2-10g.bigdata.polimi,3,NODE_LOCAL,1490223200251,1490223203093,0,16568361,139694910,612829,2803,27,0,2236,0,0,5,ShuffleMapTask,Success
42,hadoop-d2-10g.bigdata.polimi,3,NODE_LOCAL,1490223202030,1490223203135,0,5791705,111903274,214020,1062,32,0,2236,0,0,5,ShuffleMapTask,Success
18,hadoop-d3-10g.bigdata.polimi,5,NODE_LOCAL,1490223198128,1490223203157,0,15451036,221539860,612871,4847,158,0,2236,0,0,5,ShuffleMapTask,Success
41,hadoop-d4-10g.bigdata.polimi,2,NODE_LOCAL,1490223201998,1490223203491,0,5824386,133424130,214616,1442,39,0,2236,0,0,5,ShuffleMapTask,Success
